state,q1_temp,q2_temp,q3_temp,q4_temp
al,58.81944444444445,68.51388888888889,78.81944444444444,58.68055555555555
ak,4.3092694857103355,38.261016455092,55.99795933809847,21.298907646474678
az,37.00534241674024,60.119823232323235,72.36647591348803,52.34528243327126
ar,46.47619047619048,61.833333333333336,79.19047619047619,55.214285714285715
ca,42.77396926773182,57.7600777313428,73.55198285101822,48.319045232985765
co,19.25389804318995,41.839838432095476,59.09208758028421,37.59172143731995
ct,37.166666666666664,54.75,74.25,51.833333333333336
de,0,0,0,0
fl,65.875,74.91071428571429,81.96318342151676,71.97023809523809
ga,57.641798941798946,68.68981481481482,77.43055555555554,58.235391981518745
hi,66.70454545454545,69.26811594202898,72.01449275362319,70.76086956521739
id,20.9043351080309,43.05054347949693,67.72309883384803,35.05024124620899
il,38.40740740740741,56.05555555555555,76.22222222222221,50.44444444444445
in,42.875,56.270833333333336,75.3125,50.166666666666664
ia,25.25,50.208333333333336,75.97916666666667,50.083333333333336
ks,31.98148148148148,55.02178649237473,79.5,57.34814814814814
ky,50.32222222222222,61.76666666666667,77.25555555555555,51.53333333333333
la,58.583333333333336,71.98703703703704,80.5037037037037,60.63333333333333
me,27.233333333333334,49.13333333333333,68.93333333333334,45.72777777777778
md,0,64.3888888888889,78.94444444444444,54.666666666666664
ma,35.25,52.5,72.58333333333333,50.333333333333336
mi,23.57843137254902,46.51960784313726,68.50980392156863,44.51960784313726
mn,2.9444444444444446,43.313131313131315,67.510101010101,43.33664772727273
ms,58.46296296296296,70.25925925925925,78.93518518518518,59.574074074074076
mo,39.97551415483104,57.40196078431372,78.32352941176471,53.764705882352935
mt,18.03359841397131,41.36583870653731,66.3951950453477,33.866226077030674
ne,25.654358974358974,49.41025641025641,77.43589743589745,50.52564102564103
nv,27.164739438791244,47.540665751544275,70.05998347115883,38.48588770327901
nh,22.5,43.611111111111114,62.166666666666664,40.422222222222224
nj,42.583333333333336,59.333333333333336,77.41666666666667,52.833333333333336
nm,28.40311986863711,49.38027914614122,61.00513285024155,43.5625
ny,33.607142857142854,53.702380952380956,71.90476190476191,48.46230158730159
nc,52.5088855979267,67.40090090090091,76.41441441441442,54.1036036036036
nd,2.859890109890111,44.82875457875457,70.19047619047619,40.175983436853
oh,41.09259259259259,57.537037037037045,75.2962962962963,48.53703703703704
ok,41.88095238095238,62.595238095238095,81.5952380952381,58.11904761904762
or,30.953932893289323,45.81769804563922,67.72931283276111,38.3317487099646
pa,38.904761904761905,57.357142857142854,73.78571428571429,48.67857142857142
ri,37.5,54.833333333333336,73.66666666666667,51.333333333333336
sc,55.729166666666664,70.33333333333333,78.375,56.75297619047618
sd,19.493386243386244,45.620370370370374,74.26851851851852,48.65740740740741
tn,52.701897018970186,64.22222222222221,77.1111111111111,53.3968253968254
tx,52.810810810810814,72.70945945945947,83.19270640503517,62.42567567567568
ut,20.34386162786804,43.78536068094642,64.43251208230966,37.16097206119712
vt,24.833333333333332,0,68.375,43.833333333333336
va,47.730769230769226,64.26923076923077,77.06410256410257,52.43589743589743
wa,27.702468126468187,0,64.72991673844386,37.708858858858854
wv,46.5,58.86666666666667,0,46.900000000000006
wi,19.0,48.5,72.48148148148148,46.61111111111111
wy,16.211999647328515,37.375356017450336,60.68097925116087,32.875786163522015
